,行動卡名稱,顏色,種類,強度,購買費用,行動卡效果,提供資源,位置,行動卡意涵,卡牌張數,,,,,,,,,,,,,,,
33,組織經驗丙,棕,組織,丙級,資金2+宣傳1,於己方組織1格內建立1個組織。,宣傳1,隨機購買區,在鄰近地區成立新的組織,5,,,,,,,,,,,,,,,
34,組織經驗乙,棕,組織,乙級,資金3+宣傳2,於己方組織1格內建立2個組織。,宣傳2,隨機購買區,熟練而快速地拓展組織,3,,,,,,,,,,,,,,,
35,組織經驗甲,棕,組織,甲級,資金3+宣傳3,無視距離於己方發展空間建立1個組織。每從手上棄掉1張購買費用4點以上的牌，可重複上述動作1次。無法無視距離建立牆內組織者，本牌於牆內建立組織距離為1格。,資金1+宣傳2,隨機購買區,把遠方的支持者們組織起來,3,,,,,,,,,,,,,,,
36,批判,橘,整肅,丙級,宣傳2,從己方手牌或棄牌堆中移除任1張牌。,宣傳1,隨機購買區,整頓內部的人員或意見,8,,,,,,,,,,,,,,,
37,批鬥,橘,整肅,乙級,宣傳4,從己方手牌或棄牌堆中移除任2張牌。,宣傳2,隨機購買區,驅除不同意見的派系,4,,,,,,,,,,,,,,,
38,武裝者,紅,武裝,丙級,資金2,選擇1位有組織位在己方組織1格內的玩家，由該玩家選1張手牌棄掉。,宣傳1,隨機購買區,勇武的行動者,8,,,,,,,,,,,,,,,
39,武裝小隊,紅,武裝,乙級,資金3,選擇1位有組織位在己方組織1格內的玩家，由該玩家選2張手牌棄掉。,資金1+宣傳1,隨機購買區,有組織的戰術小隊,5,,,,,,,,,,,,,,,
40,武裝集團,紅,武裝,甲級,資金4,選擇1位有組織位在己方組織1格內的玩家，由該玩家選2張手牌棄掉。若成功，您抽1張牌。,資金1+宣傳2,隨機購買區,武器與訓練充分的武裝團體,3,,,,,,,,,,,,,,,
41,爆料黑幕,灰,宣傳,甲級,資金1+宣傳4,其他玩家行動時打出，取消1張對方所打出行動卡之能力。若被取消的牌購買費用有宣傳，抽1張牌。,宣傳2,隨機購買區,公開揭露敵營的醜聞,4,,,,,,,,,,,,,,,
42,輿論丕變,灰,宣傳,丙級,宣傳3,移除隨機購買區的所有牌，並立即補滿。獲得1點宣傳。,宣傳1,隨機購買區,釋出消息改變輿論與政局,6,,,,,,,,,,,,,,,
43,行動預告,灰,宣傳,乙級,資金1+宣傳3,將本回合購得的1張牌置於牌庫頂。獲得1點宣傳。,宣傳2,隨機購買區,公開預告即將展開的行動,5,,,,,,,,,,,,,,,
44,企業人脈,銅,資金,乙級,資金4,將購買區面朝上的任1張牌暫時移出購買區，本回合您可以使用該牌，使用後將該牌放回購買區原位。,資金1,隨機購買區,短暫借用友我企業主的資源,5,,,,,,,,,,,,,,,
45,產業滲透,銅,資金,甲級,資金4+宣傳1,其他玩家行動時打出，取消1張對方所打出行動卡之能力。若被取消的牌購買費用有資金，抽1張牌。,資金2,隨機購買區,以產業影響力阻撓敵人行動,4,,,,,,,,,,,,,,,
46,企畫遊說,銅,資金,丙級,資金1+宣傳2,展示己方牌庫頂牌，若該牌購買費用為3點以上牌，獲得4點資金；若否，獲得2點資金。,資金1,隨機購買區,向金主展現您的實力,7,,,,,,,,,,,,,,,
47,行動募資,銅,資金,甲級,資金1+宣傳3,將本回合購得的1張牌置於牌庫頂。獲得1點資金。,資金2,隨機購買區,為即將展開的行動籌款,4,,,,,,,,,,,,,,,
